APRESENTAÇÃO,Quantidade,Unidade,Descrição do item,Unidades,Com Rev
250 MG CAP GEL MOLE CT FR VD AMB X 100,250,MG,CAP GEL MOLE CT FR VD AMB ,100,
TALQUEIRA C/ 100 G,,,TALQUEIRA C/ 100 G,,
COM REV A + COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC X 26 + 2 PLACEBOS ,,,A +  B +  C +  D 3 ESTOJ CARTOL BL AL PLAS INC  + 2 PLACEBOS,26,COM REV
5 MG COM MAST CT 3 BL AL PLAS INC X 10,5,MG,COM MAST CT 3 BL AL PLAS INC ,10,
10 MG COM REV CT 3 BL AL PLAS INC X 10,10,MG,CT 3 BL AL PLAS INC X,10,COM REV
4 MG COM  MAST CT BL AL PLAS INC X 10,4,MG,COM  MAST CT BL AL PLAS INC ,10,
4 MG COM MAST CT 3  BL AL PLAS INC X 10,4,MG,COM MAST CT 3  BL AL PLAS INC ,10,
5 MG COM MAST CT BL AL PLAS INC X 10,5,MG,COM MAST CT BL AL PLAS INC ,10,
10 MG COM REV CT BL AL PLAS INC X 10,10,MG,CT BL AL PLAS INC X,10,COM REV
4 MG GRAN SOL CT 30 ENV AL/PLAS X 500 MG ,4,MG,GRAN SOL CT 30 ENV AL/PLAS ,500,
4 MG GRAN SOL CT 10 ENV AL/PLAS X 500 MG  ,4,MG,GRAN SOL CT 10 ENV AL/PLAS ,500,
100 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30,100,MG,CT BL AL PVC/PE/PVDC BCO OPC ,30,COM REV
50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30,50,MG,CT BL AL PVC/PE/PVDC BCO OPC ,30,COM REV
50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 15,50,MG,CT BL AL PVC/PE/PVDC BCO OPC ,15,COM REV
20 MG COM REV CT BL AL PVC/PE/PVDC INC X 30 ,20,MG,CT BL AL PVC/PE/PVDC INC ,30,COM REV
40 MG COM REV CT BL AL PVC/PE/PVDC INC X 10,40,MG,CT BL AL PVC/PE/PVDC INC ,10,COM REV
80 MG COM REV CT BL AL PVC/PE/PVDC INC X 10   ,80,MG,CT BL AL PVC/PE/PVDC INC ,10,COM REV
10 MG COM REV CT BL AL PVC/PE/PVDC INC X 30,10,MG,CT BL AL PVC/PE/PVDC INC ,30,COM REV
"50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 15",50,MG,"+ 12,5   OR CT BL AL PLAS BCO OPC ",15,COM REV
"50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 30",50,MG,"+ 12,5   OR CT BL AL PLAS BCO OPC ",30,COM REV
100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 15,100,MG,+ 25   OR CT BL AL PLAS BCO OPC ,15,COM REV
100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 30,100,MG,+ 25   OR CT BL AL PLAS BCO OPC ,30,COM REV
10 MG COM CT BL AL AL X 2,10,MG,COM CT BL AL AL ,2,
1 MG COM REV CT BL AL AL X 30,1,MG,CT BL AL AL ,30,COM REV
500 MG + 500 MG PO INJ IV CT 25 FA VD INC,500,MG,+   PO INJ IV CT 25 FA VD INC,,
20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML,20,MG/ML,SOL OFT CT FR PLAS TRANS  ML,5,
"25 U SUS INJ IM CT 1 FA VD INC X 0,5 ML",25,U,"SS INJ IM CT 1 FA VD INC ,5 ML",0,
"50 U SUS INJ IM CT 1 FA VD INC X 1,0 ML",50,U,"SS INJ IM CT 1 FA VD INC ,0 ML",1,
"50 U SUS INJ IM CT 10 FA VD INC X 1,0 ML",50,U,"SS INJ IM CT 10 FA VD INC ,0 ML",1,
5 MG COM CT BL AL/AL X 30,5,MG,COM CT BL AL/AL ,30,
10 MG COM CT BL AL/AL X 30,10,MG,COM CT BL AL/AL ,30,
20 MG COM CT BL AL/AL X 30,20,MG,COM CT BL AL/AL ,30,
"0,5% SOL OFT CT FR PLAS OPC GOT X 5 ML","0,5%",SOL,OFT CT FR PLAS OPC GOT  ML,5,
"0,5% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML","0,5%",SOL,OFT CT FR PLAS OPC GOT OCUMETRO  ML,5,
60 MG COM REV CT BL AL AL X 7,60,MG,CT BL AL AL ,7,COM REV
60 MG COM REV CT BL AL AL X 14 ,60,MG,CT BL AL AL ,14,COM REV
90 MG COM REV CT  BL AL AL X 7,90,MG,CT  BL AL AL ,7,COM REV
90 MG COM REV CT BL AL AL X 14,90,MG,CT BL AL AL ,14,COM REV
90 MG COM REV CT BL AL AL X 2,90,MG,CT BL AL AL ,2,COM REV
10 MG COM CT BL AL PLAS TRANS X 30,10,MG,COM CT BL AL PLAS TRANS ,30,
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 30,10MG,+,20 MG COM CT BL PVC BRANCO ACLAR AL ,30,
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 14,10MG,+,20 MG COM CT BL PVC BRANCO ACLAR AL ,14,
10MG + 20 MG COM CT BL PVC BRANCO ACLAR AL X 28 ,10MG,+,20 MG COM CT BL PVC BRANCO ACLAR AL ,28,
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 30,10MG,+,40 MG COM CT BL PVC BRANCO ACLAR AL ,30,
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 14,10MG,+,40 MG COM CT BL PVC BRANCO ACLAR AL ,14,
10MG + 40 MG COM CT BL PVC BRANCO ACLAR AL X 28 ,10MG,+,40 MG COM CT BL PVC BRANCO ACLAR AL ,28,
10MG + 80 MG COM CT BL PVC BRANCO ACLAR AL X 28,10MG,+,80 MG COM CT BL PVC BRANCO ACLAR AL ,28,
10MG + 10 MG COM CT BL AL AL X 28,10MG,+,10 MG COM CT BL AL AL ,28,
10MG + 10 MG COM CT BL AL AL X 30,10MG,+,10 MG COM CT BL AL AL ,30,
25 MG COM REV CT BL AL PVC/PE/PVDC X 28 ,25,MG,CT BL AL PVC/PE/PVDC ,28,COM REV
50 MG COM REV CT BL AL PVC/PE/PVDC X 28,50,MG,CT BL AL PVC/PE/PVDC ,28,COM REV
100 MG COM REV CT BL AL PVC/PE/PVDC X 14,100,MG,CT BL AL PVC/PE/PVDC ,14,COM REV
100 MG COM REV CT BL AL PVC/PE/PVDC X 28,100,MG,CT BL AL PVC/PE/PVDC ,28,COM REV
25 MG COM REV CT BL AL AL X 28 ,25,MG,CT BL AL AL ,28,COM REV
50 MG COM REV CT BL AL AL X 28,50,MG,CT BL AL AL ,28,COM REV
100 MG COM REV CT BL AL AL X 14,100,MG,CT BL AL AL ,14,COM REV
100 MG COM REV CT BL AL AL X 28 ,100,MG,CT BL AL AL ,28,COM REV
(50 + 500) MG COM REV CT BL AL AL X 56,(50 + 500),MG,CT BL AL AL ,56,COM REV
(50 + 850) MG COM REV CT BL AL AL X 28,(50 + 850),MG,CT BL AL AL ,28,COM REV
(50 + 850) MG COM REV CT BL AL AL X 56,(50 + 850),MG,CT BL AL AL ,56,COM REV
(50 + 1000) MG COM REV CT BL AL AL X 28,(50 + 1000),MG,CT BL AL AL ,28,COM REV
(50 + 1000) MG COM REV CT BL AL AL X 56,(50 + 1000),MG,CT BL AL AL ,56,COM REV
(1000 + 100) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 10,(1000 + 100),MG,LIB PROL CT FR PLAS PEAD OPC ,10,COM REV
(1000 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 20,(1000 + 50),MG,LIB PROL CT FR PLAS PEAD OPC ,20,COM REV
(500 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,(500 + 50),MG,LIB PROL CT FR PLAS PEAD OPC ,60,COM REV
(1000 + 100) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 30,(1000 + 100),MG,LIB PROL CT FR PLAS PEAD OPC ,30,COM REV
(1000 + 50) MG COM REV LIB PROL CT FR PLAS PEAD OPC X 60,(1000 + 50),MG,LIB PROL CT FR PLAS PEAD OPC ,60,COM REV
70 MG/5600 UI COM CT BL AL AL X 4,70,MG/5600,UI COM CT BL AL AL ,4,
