APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
250 MG CAP GEL MOLE CT FR VD AMB X 100,250 MG,CAP GEL MOLE CT FR VD AMB X 100,,
TALQUEIRA C/ 100 G,,TALQUEIRA C,/ 100 G,
COM REV A + COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC X 26 + 2 PLACEBOS ,,COM REV A,+ COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC  + 2 PLACEBOS,X 26
5 MG COM MAST CT 3 BL AL PLAS INC X 10,5 MG,COM MAST CT 3 BL AL PLAS INC X 10,,
10 MG COM REV CT 3 BL AL PLAS INC X 10,10 MG,COM REV CT 3 BL AL PLAS INC X 10,,
4 MG COM  MAST CT BL AL PLAS INC X 10,4 MG,COM  MAST CT BL AL PLAS INC X 10,,
4 MG COM MAST CT 3  BL AL PLAS INC X 10,4 MG,COM MAST CT 3  BL AL PLAS INC X 10,,
5 MG COM MAST CT BL AL PLAS INC X 10,5 MG,COM MAST CT BL AL PLAS INC X 10,,
10 MG COM REV CT BL AL PLAS INC X 10,10 MG,COM REV CT BL AL PLAS INC X 10,,
4 MG GRAN SOL CT 30 ENV AL/PLAS X 500 MG ,4 MG,GRAN SOL CT 30 ENV AL,/PLAS  MG,X 500
4 MG GRAN SOL CT 10 ENV AL/PLAS X 500 MG  ,4 MG,GRAN SOL CT 10 ENV AL,/PLAS  MG,X 500
100 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30,100 MG,COM REV CT BL AL PVC,/PE/PVDC BCO OPC,X 30
50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30,50 MG,COM REV CT BL AL PVC,/PE/PVDC BCO OPC,X 30
50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 15,50 MG,COM REV CT BL AL PVC,/PE/PVDC BCO OPC,X 15
20 MG COM REV CT BL AL PVC/PE/PVDC INC X 30 ,20 MG,COM REV CT BL AL PVC,/PE/PVDC INC,X 30
40 MG COM REV CT BL AL PVC/PE/PVDC INC X 10,40 MG,COM REV CT BL AL PVC,/PE/PVDC INC,X 10
80 MG COM REV CT BL AL PVC/PE/PVDC INC X 10   ,80 MG,COM REV CT BL AL PVC,/PE/PVDC INC,X 10
10 MG COM REV CT BL AL PVC/PE/PVDC INC X 30,10 MG,COM REV CT BL AL PVC,/PE/PVDC INC,X 30
"50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 15",50 MG,,"+ 12,5 MG COM REV OR CT BL AL PLAS BCO OPC",X 15
"50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 30",50 MG,,"+ 12,5 MG COM REV OR CT BL AL PLAS BCO OPC",X 30
100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 15,100 MG,,+ 25 MG COM REV OR CT BL AL PLAS BCO OPC,X 15
100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 30,100 MG,,+ 25 MG COM REV OR CT BL AL PLAS BCO OPC,X 30
10 MG COM CT BL AL AL X 2,10 MG,COM CT BL AL AL X 2,,
1 MG COM REV CT BL AL AL X 30,1 MG,COM REV CT BL AL AL X 30,,
500 MG + 500 MG PO INJ IV CT 25 FA VD INC,500 MG,,+ 500 MG PO INJ IV CT 25 FA VD INC,
20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML,20 MG,,/ML SOL OFT CT FR PLAS TRANS  ML,X 5
"25 U SUS INJ IM CT 1 FA VD INC X 0,5 ML",25 U,SUS INJ IM CT 1 FA VD INC X 0,",5 ML",
"50 U SUS INJ IM CT 1 FA VD INC X 1,0 ML",50 U,SUS INJ IM CT 1 FA VD INC X 1,",0 ML",
"50 U SUS INJ IM CT 10 FA VD INC X 1,0 ML",50 U,SUS INJ IM CT 10 FA VD INC X 1,",0 ML",
5 MG COM CT BL AL/AL X 30,5 MG,COM CT BL AL,/AL,X 30
10 MG COM CT BL AL/AL X 30,10 MG,COM CT BL AL,/AL,X 30
20 MG COM CT BL AL/AL X 30,20 MG,COM CT BL AL,/AL,X 30
"0,5% SOL OFT CT FR PLAS OPC GOT X 5 ML","0,5",,% SOL OFT CT FR PLAS OPC GOT  ML,X 5
"0,5% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML","0,5",,% SOL OFT CT FR PLAS OPC GOT OCUMETRO  ML,X 5
